device_id,input_gc_x,input_gc_y,output_gc_x,output_gc_y,polarization,lambda_start_nm,lambda_stop_nm,lambda_step_nm,peak_w,lambda_peak_nm,fwhm_nm
wg_r01_c01,1000.000,500.000,1127.000,500.000,TE,1540.00,1600.00,0.01,4.02521584764e-05,1543.06,4.746
wg_r01_c02,1300.000,500.000,1427.000,500.000,TE,1540.00,1600.00,0.01,1.97233217669e-05,1544.83,6.492
wg_r01_c03,1600.000,500.000,1727.000,500.000,TE,1540.00,1600.00,0.01,4.94064305978e-05,1541.96,6.062
wg_r01_c04,1900.000,500.000,2027.000,500.000,TE,1540.00,1600.00,0.01,2.67128724599e-05,1559.95,8.864
wg_r01_c05,2200.000,500.000,2327.000,500.000,TE,1540.00,1600.00,0.01,2.33098175222e-05,1556.36,11.751
wg_r01_c06,2500.000,500.000,2627.000,500.000,TE,1540.00,1600.00,0.01,1.76876372351e-05,1552.03,5.415
wg_r01_c07,2800.000,500.000,2927.000,500.000,TE,1540.00,1600.00,0.01,2.46939604058e-05,1571.95,9.154
wg_r01_c08,3100.000,500.000,3227.000,500.000,TE,1540.00,1600.00,0.01,6.73804803487e-06,1580.51,11.518
wg_r01_c09,3400.000,500.000,3527.000,500.000,TE,1540.00,1600.00,0.01,2.72965060336e-05,1566.00,7.685
wg_r01_c10,3700.000,500.000,3827.000,500.000,TE,1540.00,1600.00,0.01,4.62162229751e-05,1542.73,6.539
wg_r02_c01,1000.000,600.000,1127.000,600.000,TE,1540.00,1600.00,0.01,2.37287713557e-05,1555.13,5.348
wg_r02_c02,1300.000,600.000,1427.000,600.000,TE,1540.00,1600.00,0.01,5.40143378599e-06,1562.38,6.748
wg_r02_c03,1600.000,600.000,1727.000,600.000,TE,1540.00,1600.00,0.01,1.01693212806e-05,1567.01,9.572
wg_r02_c04,1900.000,600.000,2027.000,600.000,TE,1540.00,1600.00,0.01,2.86904896967e-05,1588.01,9.071
wg_r02_c05,2200.000,600.000,2327.000,600.000,TE,1540.00,1600.00,0.01,2.46882520716e-05,1588.20,9.911
wg_r02_c06,2500.000,600.000,2627.000,600.000,TE,1540.00,1600.00,0.01,2.21704669391e-05,1560.35,11.879
wg_r02_c07,2800.000,600.000,2927.000,600.000,TE,1540.00,1600.00,0.01,2.58035538172e-05,1543.97,9.454
wg_r02_c08,3100.000,600.000,3227.000,600.000,TE,1540.00,1600.00,0.01,1.61024356298e-05,1560.61,8.972
wg_r02_c09,3400.000,600.000,3527.000,600.000,TE,1540.00,1600.00,0.01,1.56481366655e-05,1558.01,5.576
wg_r02_c10,3700.000,600.000,3827.000,600.000,TE,1540.00,1600.00,0.01,3.29171032492e-05,1584.57,10.217
wg_r03_c01,1000.000,700.000,1127.000,700.000,TE,1540.00,1600.00,0.01,3.09555128602e-05,1565.97,9.104
wg_r03_c02,1300.000,700.000,1427.000,700.000,TE,1540.00,1600.00,0.01,2.48842387643e-05,1562.01,8.215
wg_r03_c03,1600.000,700.000,1727.000,700.000,TE,1540.00,1600.00,0.01,3.18736212156e-05,1589.75,9.149
wg_r03_c04,1900.000,700.000,2027.000,700.000,TE,1540.00,1600.00,0.01,4.29944761507e-05,1578.29,10.086
wg_r03_c05,2200.000,700.000,2327.000,700.000,TE,1540.00,1600.00,0.01,1.91349723875e-05,1579.32,8.726
wg_r03_c06,2500.000,700.000,2627.000,700.000,TE,1540.00,1600.00,0.01,4.84272062409e-05,1578.62,5.919
wg_r03_c07,2800.000,700.000,2927.000,700.000,TE,1540.00,1600.00,0.01,2.69962889685e-05,1558.73,11.627
wg_r03_c08,3100.000,700.000,3227.000,700.000,TE,1540.00,1600.00,0.01,3.04140881702e-05,1543.72,9.091
wg_r03_c09,3400.000,700.000,3527.000,700.000,TE,1540.00,1600.00,0.01,3.97285934104e-05,1542.32,5.204
wg_r03_c10,3700.000,700.000,3827.000,700.000,TE,1540.00,1600.00,0.01,1.01359996564e-05,1562.41,8.864
wg_r04_c01,1000.000,800.000,1127.000,800.000,TE,1540.00,1600.00,0.01,2.22907057494e-05,1585.18,9.189
wg_r04_c02,1300.000,800.000,1427.000,800.000,TE,1540.00,1600.00,0.01,3.58455363905e-05,1541.59,7.994
wg_r04_c03,1600.000,800.000,1727.000,800.000,TE,1540.00,1600.00,0.01,4.82626934961e-06,1556.81,8.910
